Date,Category,SubCategory,Question_Or_Word,Answer_Or_Definition,Extra_Tags_Or_Notes
"2026-03-27","英语","核心词汇","comprehensive","[ˌkɒmprɪˈhensɪv] adj. 综合的，全面的","a comprehensive review (全面的复习)"
"2026-03-27","英语","核心词汇","compromise","[ˈkɒmprəmaɪz] v./n. 妥协，折中","reach a compromise (达成妥协)"
"2026-03-27","英语","核心词汇","conceal","[kənˈsiːl] v. 隐藏，隐瞒","conceal the truth (隐瞒真相)"
"2026-03-27","英语","核心词汇","concede","[kənˈsiːd] v. 承认(失败)，让步","con + cede(走/让位)"
"2026-03-27","英语","核心词汇","consecutive","[kənˈsekjətɪv] adj. 连续的","three consecutive days (连续三天)"
"2026-03-27","英语","核心词汇","consensus","[kənˈsensəs] n. 共识，一致意见","reach a consensus"
"2026-03-27","英语","核心词汇","conservative","[kənˈsɜːvətɪv] adj. 保守的 / n. 保守派","conserve (保护) 的衍生词"
"2026-03-27","408","数据结构","深度为 k 的二叉树，最多和最少有多少个节点？","最多：2^k - 1 个（满二叉树）；最少：k个（高度为k的斜树）。","边界考点"
"2026-03-27","408","数据结构","完全二叉树节点从1开始编号，节点i的左右孩子和父节点编号是多少？","左孩子: 2i；右孩子: 2i+1；父节点: 向下取整(i/2)。","完全二叉树天然适合数组"
"2026-03-27","408","数据结构","n个顶点的无向连通图，至少有多少条边？","一般为n-1条(树)。若要求“无论怎么连必连通”，则是 (n-1)(n-2)/2 + 1 条边。","连通判定陷阱大题"
"2026-03-27","八股文","操作系统","多进程与多线程在执行时有什么区别与优劣？","多进程：内存隔离，数据互不干扰，一崩全不崩，极稳定但切换开销大。多线程：共享内存，切换极快开销小，但一崩全崩。","常考应用场景选择"
"2026-03-27","八股文","操作系统","死锁的四大必要条件是什么？怎么避免？","1.互斥2.请求并保持3.不剥夺4.循环等待。避免法：通过银行家算法在每次分配资源前检测安全性。","银行家算法"
"2026-03-27","八股文","操作系统","进程之间想要传递数据(通信)，常见方式有哪些？","1.管道Pipe; 2.消息队列MQ; 3.共享内存(最快); 4.信号量Semaphore; 5.套接字Socket。","IPC 五大法宝"
"2026-03-28","英语","核心词汇","deduce","[dɪˈdjuːs] v. 推论，推断","de(向下) + duce(引导) -> 往下引申结果"
"2026-03-28","英语","核心词汇","deprive","[dɪˈpraɪv] v. 剥夺，使丧失","deprive sb of sth"
"2026-03-28","英语","核心词汇","deteriorate","[dɪˈtɪəriəreɪt] v. 恶化，变坏","health deteriorates (健康恶化)"
"2026-03-28","英语","核心词汇","dilemma","[dɪˈlemə] n. 进退两难的困境","in a dilemma (处于两难境地)"
"2026-03-28","英语","核心词汇","diminish","[dɪˈmɪnɪʃ] v. 减少，削弱","diminish the impact (削弱影响)"
"2026-03-28","英语","核心词汇","empirical","[ɪmˈpɪrɪkl] adj. 经验主义的，实证的","empirical study (实证探究/论文常用词)"
"2026-03-28","英语","核心词汇","endow","[ɪnˈdaʊ] v. 赋予，资助","be endowed with (天生具备...)"
"2026-03-28","英语","核心词汇","evaluate","[ɪˈvæljueɪt] v. 评估，评价","e(出) + value(价值) -> 评估价值"
"2026-03-28","英语","核心词汇","explicit","[ɪkˈsplɪsɪt] adj. 明确的，直言的","ex(出) + plic(折叠) -> 摊开来说 -> 明确的"
"2026-03-28","英语","核心词汇","extinguish","[ɪkˈstɪŋɡwɪʃ] v. 熄灭，消灭","extinguish the fire (灭火)"
"2026-03-28","408","计组","Cache (高速缓存) 的作用和内部映射方式？","作用：基于局部性原理，缓解CPU与主存速度矛盾。映射：全相联、直接映射、组相联。","Cache层级结构极其重要"
"2026-03-28","408","计组","CISC 与 RISC 的核心区别点是什么？","CISC(复杂指令集)：指令多长短不一，如x86。RISC(精简指令集)：只保留高频简单指令，非常利于流水线，如ARM。","指令集大比拼"
"2026-03-28","八股文","数据库","在“可重复读(RR)”下，MySQL如何避免幻读现象？","通过 MVCC 解决普通SELECT幻读(快照读)。通过间隙锁(Gap Lock) + 行锁解决当前读(FOR UPDATE)的幻读。","InnoDB引擎神级考点"
"2026-03-28","八股文","数据库","MySQL宕机后是如何保证数据不丢失的？","1. Undo Log：记录修改前数据(原子性回滚)。2. Redo Log：物理日志，记录数据页修改，宕机可根据它重做(持久性)。","WAL技术：先写日志再写盘"
"2026-03-29","复盘","每周总结","今日没有新背诵任务，完成本周前四天的自测！","检查英语A-E字母群，408数据结构/计组，网络/操作系统架构是否仍存在遗忘盲区。","温故而知新"
